question,answer,normalized_aliases,correctness
In which country is the city of Armagh?," Northern Ireland
","['ireland north', 'national anthem of northern ireland', 'northern ireland assembly and executive', 'ireland northern ireland', 'tuaisceart eireann', 'norlin airlan', 'irland du nord', 'six counties', 'norn irn', 'tuaisceart éireann', 'governance of northern ireland', 'northern ireland united kingdom', 'north ireland', 'na se contaethe', '6 counties', 'ulster uk', 'northern ireland s national anthem', 'norrn iron', 'northeast of ireland', 'geography of northern ireland', 'northern irish politics', 'northern ireland uk', 'occupied 6 counties', 'north of ireland', 'irlanda del norte', 'northern ireland', 'na sé contaethe', 'norn ireland', 'nothern irish', 'n ireland', 'ulster occupied', 'norn iron', 'communications in northern ireland', 'northern irish', 'norlin airlann', 'nothern ireland']",Correct
"Which traditional Scottish soup is made with the principal ingredients of leek, onions and chicken stew, and sometimes also with prunes?"," Cock-a-leekie soup
","['cock leekie', 'cockaleekie', 'cockie leekie', 'cock leekie soup']",Incorrect
"In botany, what is the word for the scar left on a tree or plant after a leaf falls?"," Stigma
","['fibroplasias', 'cicatrix', 'cicatricial', 'uloid', 'cicatrices', 'scarguard', 'silicone scar sheets', 'cicatrice', 'atrophic scarring', 'scarred', 'scars', 'subcision', 'infected scar', 'laser scar removal', 'infected cicatrix', 'fibroplasia', 'silicone scar sheet', 'scarring', 'scar']",Incorrect
What was the profession of Burt Reynolds' father?," Police officer
","['police women', 'bobby police', 'police agents', 'officer of law', 'motorcycle cop', 'sbirro', 'policemen', 'police woman', 'policeofficers', 'zaptiah', 'police man', 'police officers', 'motor officer', 'police men', 'policeman', 'policewomen', 'police agent', 'policewoman', '👮', 'law enforcement personnel', 'special officer', 'becoming police officer', 'police officer', 'freezer duty', 'policeofficer']",Correct
What was the name of Ann Boleyn's older sister?," Mary
","['mary song', 'mary', 'mary film', 'mary disambiguation', 'mary album']",Correct
Shagreen is leather made from the skin of which creatures?," Shark
","['selachimorpha', 'selachoidei', 'shark taxonomy', 'selachian', 'shark', 'shark behaviour', 'latin names of sharks', 'shark senses and behaviors', 'sharks', 'sharkie', 'selachii', 'sharkes', 'selachians', 'selachimorph']",Correct
Tapas were originally an accompaniment to which drink?," Sherry
","['sherry wine', 'sherry', 'cream sherry', 'jerez dulce', 'sweet sherry', 'sherries']",Correct
What wood is traditionally used to make Rolls Royce dashboards?," Walnut
","['walnut street theater', 'walnut', 'walnut street theatre']",Correct
Trappist monks are a stricter version of which religious order?," Cistercian
","['cistercian monks', 'cistercian order', 'cistercian', 'cistercian rule', 'bernardine order', 'ocist', 'o cist', 'white monk', 'common observance', 'order of cîteaux', 'order of cistercians', 'cistercians', 'order of citeaux', 'cistercian monastery', 'gimey monks', 'cistercians of immaculate conception', 'cistercians abbey', 'cistercians in british isles', 'cistercian abbey', 'cistercian monk', 'white monks', 'congregation of st bernard', 'cisterian']",Correct
How many senators are there in the US Senate?,"100
","['one hundred', '100']",Correct
What is the name of the dog in the Secret Seven series of books?," Scamper
","['scamper disambiguation', 'scamper']",Correct
Who is the Roman equivalent to the Greek god Hypnos," Somnus
","['hypnos', 'somnus', 'hupnos', 'hypnus']",Correct
Nitroglycerin is made by treating glycerin with nitric acid and what?," Sulfuric acid
","['sulfuric acids', 'sulfuric vi acid', '🜗', 'dihydrogen sulphate', 'tower acid', 'vitreol', 'vitriolic', 'sulfur acid', 'h2so4', 'h₂so₄', 'dihydrogen sulfate', 'vitriolically', 'glover acid', 'oil of vitriol', 'spirit of sulfur', 'dipping acid', 'sulfuric acid chemdata supplement', 'sulphuric acid', 'spirit of sulphur', 'aqueous hydrogen sulfide', 'h2o4s', 'sulphur acid', '🜖', 'hydrogen sulphate', 'sulphuri acid', 'h2s04', 'battery acid', 'chamber acid', 'vitriolic acid', 'fertiliser acid', 'vitriols', 'sulfuric acid', 'spirit of vitriol', 'fertilizer acid', 'e513', 'dilute sulfuric acid', 'h2so']",Correct
Film director Lindsay Anderson was born in which country?," India
","['భారత గణతంత్ర రాజ్యము', 'భారత రిపబ్లిక్', 'bhārtiya prajāsattāk', 'republic of india', 'ভারত', 'hindio', 'ਭਾਰਤ ਗਣਤੰਤਰ', 'भारतीय प्रजासत्ताक', 'ભારતીય ગણતંત્ર', 'indea', 'ভারত গণরাজ্য', 'இந்தியக் குடியரசு', 'india country', 'les indes', 'هندستانڀارت،', 'etymology of india', 'भारतमहाराज्यम्', 'india', 'جمہوٗرِیت بًارت', 'भारतीय गणराज्याच्या', 'ভারতরাষ্টৃ', 'india s', 'ভারতীয় প্রজাতন্ত্র', 'ഭാരത മഹാരാജ്യം', 'bhārat gaṇarājya', 'ভাৰত গণৰাজ্য', 'ଭାରତ ଗଣରାଜ୍ଯ', 'இந்திய', 'जुम्हूरियत भारत', 'union of india', 'hindistan', 'indya', 'bhart', 'iso 3166 1 in', 'bharat ganrajya', 'भारत गणराज्य', 'indian republic', 'ಭಾರತ ಗಣರಾಜ್ಯ', 'indian state', 'جمہوریہ بھارت', 'iso 3166 1 alpha 3 ind']",Correct
"Classical Greek theatre, and several current theatre spaces, such as La Boite in Australia, The Globe in Canada, Blue Orange Theatre in the UK, L'Europen in France and Theatre '47 in the USA, specialise in what style of performance?","
","['theater in round', 'theatre in round', 'in round', 'arena theater']",Incorrect
"What was the small British militant group responsible for a series of letter bomb attacks between 1970 and 1972, whose targets included banks, embassies and the homes of Conservative MPs?","14 July Group
","['stoke newington 8', 'angry brigade', 'stoke newington eight']",Incorrect
In which film did Noel Coward play Captain E V Kinross and Celia Johnson his wife Alix?,"49th Parallel
",['in which we serve'],Incorrect
In the Famous Five stories by Enid Blyton which of the children owns Timmy the dog?," Julian
",['george or georgina'],Incorrect
"What is the name for a method of enamel decoration where the design is outlined with soldered metal fillets which are filled with enamel paste or powder, which is vitrified and ground smooth?"," cloisonne
","['cloisonne enamel', 'vollschmelz', 'cloisonn', 'cloissoné enamel', 'cloisonne', 'garnet cloisonné', 'cloisonné objects', 'cloisonné enamel', 'cloisonné', 'senkschmelz']",Correct
Who is the Greek Goddess of the Rainbow?," Iris
","['iris', 'iris band', 'iris song', 'iris disambiguation', 'iris genus']",Correct
In English the word describes a complete failure. In Italian it describes a straw covered bottle. What is the word?," Fiasco
","['fiasco', 'fiasco disambiguation', 'fiasko']",Correct
Who plays alcoholic John Hancock in the 2008 film ‘Hancock’?," Will Smith
","['trey smith will smith', 'willard christopher smith jr', 'willard christopher smith iii', 'will smith ltd', 'list of songs recorded by will smith', 'willard christopher smith', 'sheree zampino', 'willard smith jr', 'willsmith', 'will smith', 'will s', 'wil smith', 'will smif', 'willard carroll trey smith iii', 'fresh prince rapper', 'willard christopher 22will 22 smith jr']",Correct
Which novelist wrote 'Jude the Obscure'?," Thomas Hardy
","['thomas hardy novelist', 'thomas hardy', 'thomas hardy writer', 'hardyesque', 'withered arm', 'hardy thomas', 'hardyan', 'thomas hardy poet', 't hardy']",Correct
Which colour of jersey is worn by the leader in the points classification in the Tour de France?," Green
","['green song', 'green crater', 'green disambiguation', 'green', 'green album']",Correct
Hyacinthoides is the scientific name for what protected (in the UK) spring flowering plant?," Bluebell
","['bluebelle', 'bluebell disambiguation', 'bluebell', 'bluebell flower', 'bluebells']",Correct
"Niagara Falls, one of the more popular tourist destinations in North America, consists of Horseshoe Falls and what?"," American Falls and Bridal Veil Falls
",['american falls'],Incorrect
"Which other US President died on July 4th 1826, the same day as John Adams?"," Thomas Jefferson
","['t jefferson', 'jefferson thomas', 'president jefferson', 'tomas jefferson', 'thomas jefforson', 'sage of monticello', 'thomas jeffersson', 'third president of united states', 'tom jefferson', 'jefferson administration', 'president thomas jefferson', 'thomasjefferson', 'thomas jefferson first inaugural address', 'thomas jefferson', '3rd president of united states', 'thomas jefferson second inaugural address']",Correct
"""What Soviet """"man of steel"""" was educated for the priesthood but was expelled from the seminary?"""," Joseph Stalin
","['ioseb besarionis dze jugashvili', 'djugashvili', 'ioseb jughashvili', 'joseph stalins s religious views', 'yosif stalin', 'iosif vissarionovič stalin', 'yosif vissarionovich dzhugashvili', 'stalin josef', 'uncle joe stalin', 'stalinjoseph', '斯大林', 'nijeradze', 'vissarionovich stalin', 'iosef jugashvili', 'marshal stalin', 'joseph stalin s death conspiracy theories', 'ио́сиф виссарио́нович ста́лин', 'josef vissarionovich dzhugashvili', 'joseph dzhugashvili', 'j dzhugashvili', 'josif stalin', 'иосиф виссарионович сталин', 'იოსებ სტალინი', 'joseph djugashvili', 'сталин', 'joseph jughashvili', 'joseph vissarionovich stalin', 'iosif vissarionovič džugašvili', 'joseph vissarionovich dzhugashvili', 'iosif vissarionovich dzhugashvili', 'stalinjosef', 'stallin', 'eòsaph stalin', 'joseph stalin s death conspiracy', 'iosif jugashvili', 'joseph v stalin', 'dzjugasjvili', 'critique of stalin', 'joey stalin', 'иосиф виссарионович джугашвили', 'jv stalin', 'iosef dzhugashvili', 'ioseb dzhugashvili', 'joseph stalin and religion', 'иосиф сталин', 'jose stalin', 'ио́сиф виссарио́нович джугашвил', 'ioseb vissarionovich jugashvili', 'death of stalin', 'dze jugashvili', 'yosef stalin', 'იოსებ ბესარიონის ძე ჯუღაშვილი', 'ста́лин', 'joseph man of steel', 'iosif djugashvili', 'iosif vissarionovic stalin', 'josef stalin', 'իոսիֆ ստալին', 'joseph vissarionovich djugashvili', 'iosif vissarionovich stalin', 'vissarionovich dzhugashvili', 'chijikov', 'iosef dzugashvili', 'jossif vissarionovich dhzugazvili', 'ivan stalin', 'sī dàlín', 'i v stalin', 'stalin joseph', 'jozef stalin', 'josif djugashvili', 'josip stalin', 'eosaph stalin', 'joseph staline', 'ioseb jugashvili', 'ioseb besarionis dze jughashvili', 'iosif stalin', 'staline', 'iosif vissarionovic dzugasvili', 'josif dzhugashvili', 'j v stalin', 'iósif dzhugashvíli', 'iosef stalin', 'soso stalin', 'death of joseph stalin', 'joe stalin', 'josef vissarionovich djugashvili', 'iosif dzhugashvili', 'josef jughashvili', 'josif vissarionovich dzhugashvili', 'josef dzhugashvili', 'josef dzugashvili', 'stalin', 'comrade stalin', 'იოსებ ჯუღაშვილი', 'stalin s', 'iosif vissarionovich djugashvili', 'joseph stalin']",Correct
"Which three word named plant is believed to be useful in treating depression, nervous disorders and bedwetting ?"," St Johns Wort
","['saint john s wort', 'john s wort', 'atcvet code qn06ax25', 'common st john s wort', 'st john s wort oil', 'perforate st john s wort', 'saint john s wart', 'tipton s weed', 'hyperici herba', 'st john s wort', 'atc code n06ax25', 'saint johns wart', 'common st johnswort', 'st johns wart', 'saint johns wort', 'klamath weed', 'st johns wort', 'st johnswort', 'hypericum perforatum', 'hypercium perforatum', 'st jons wort', 'saint john wort', 'st john s wart', 'neurokan']",Correct
In which city are the headquarters of Greenpeace International?," Amsterdam
","['classis of amsterdam', 'geography of amsterdam', 'amsterdam', 'ampsterdam', 'capital of holland', 'amsterdam netherlands', 'amsterdam noord holland', 'amsterdam north holland', 'capitals of netherlands', 'un locode nlams', 'amesterdam', 'amsterdam holland', 'ámsterdam', 'nlams']",Correct
