question,answer,normalized_aliases
On which island is Ronaldsway Airport?," Isle of Man
","['i of m', 'protestantism in isle of man', 'census in isle of man', 'man isle of', 'monaoeda', 'mannin', 'religion in isle of man', 'europe isle of man', 'islam in isle of man', 'man island', 'isle of man transnational issues', 'queen s commissioner barrantagh ny benrein', 'manx mythology', 'isle of man', 'isle of man military', 'military of isle of man', 'monapia', 'isle of sam', 'queens commissioner barrantagh y benrein', 'island of man', 'cuisine of isle of man', 'census act 1929', 'ynys manaw', 'isle of man history', 'iso 3166 1 im', 'isle of mann', 'queen s commissioner barrantagh y benrein', 'name of isle of man']"
"If you are suffering from myalgia, what part/parts of your body is/are affected?"," Muscle
","['neoplasms muscle tissue', 'muscular branches', 'muscles', 'human muscle', 'muscle mass', 'muscle strength', 'muscle proteins', 'muscular diseases', 'lean muscle', 'myotube', 'myo', 'muscle types', 'muscle', 'muscular tissue', 'strongest muscle in human body', 'branchialis', 'muscle loss', 'musculo', 'muscular', 'panniculus carnosis', 'characteristics of muscle', 'musculature', 'muscle protein', 'muscular force', 'gross anatomy of muscles']"
Which analgesic occurs naturally in the bark of the cinchona tree?," Quinine
","['chinin', 'kinine', 'aflukin', 'atc code p01bc01', 'coco quinine', 'chinine', 'legatrin', 'quinine', 'qualaquin', 'quinnine', 'quinine powder']"
What is the equivalent Royal Air Force rank to an Army Major?,"7th
","['squadron leader page history', 'squadron officer', 'sqn ldr', 'squadron leader', 'acting squadron leader', 'sqnldr', 'squadron leaders']"
In which musical would you hear the song Bless your beautiful hide?,"42nd Street
","['seven brides for seven brothers', 'seven brides for seven brothers film']"
Stranraer in Scotland stands at the head of which loch?," Loch Ryan
","['loch ryan scotland', 'loch ryan']"
The Stamp Act of the 18th. Century imposed taxes on which area under British rule?,"13 colonies
","['americas supercontinent', 'american supercontinent', 'americas', 'north and south america', 'america region', 'america name', 'americas continent', 'western continents', 'languages of americas', 'america continents', 'americas redirect', 'america supercontinent', 'america continent', 'north central and south america', 'americas continents', 'name of america', 'western continent', 'american continents', 'american continent', 'américas', 'naming of america']"
"Which TV show has been presented by Bob Monkhouse, Max Bygraves and Les Dennis?","6.50pm Matinee
",['family fortunes']
Albany and Camp Hill are two of the three prisons outside Newport on the Isle of Wight. What is the third?,"10 Mile Point
","['parkhurst', 'parkhurst disambiguation']"
Sufferers of cynanthropy think they are a what?,"100% animal
","['dogs', 'doggie', 'doggy', 'dog', 'shedog', 'canis domesticus', 'she dogs', 'canis canis', 'canis lupus familiaris', 'canis familaris', 'female dogs', 'domestic dogs', 'c l familiaris', 'bitch dog', 'domestic dog', 'pet dog', 'man s best friend', 'canis familiaris domesticus', 'dogs animals', 'female dog', 'dogs as pets', 'dog pet', 'dog domestic', 'dogs as our pets', 'doggies', 'shedogs', 'canis familiaris', '🐶', 'doghood', 'canis familiarus domesticus', 'shelter dog', '🐕', 'dogness', 'domestic dog clade', 'bitch female dog', 'dog hood', 'she dog', 'canine lupus']"
Exophthalmic Goitre is the medical term for which disease?," Graves' disease
","['begbie s disease', 'flajani basedow syndrome', 'thyrotropia exophthalmos', 'parry s disease', 'flajani s syndrome', 'basedow syndrome', 'graves disease', 'tsh receptor antibody', 'parry disease', 'marsh s disease', 'grave s', 'exophthalmic goitre', 'thyroid stimulating immunoglobulin', 'diffuse toxic goitre', 'grave disease', 'basedow graves disease', 'flajani syndrome', 'basedow disease', 'graves basedow disease', 'flajani basedow s syndrome', 'graves–basedow disease', 'basedow s disease', 'flajani basedow disease', 'thyrotropin receptor antibodies', 'throtoxic exopthalmos', 'grave s disease', 'morbus basedow', 'flajani basedow s disease', 'exophthalmic goiter', 'thyroid growth immunoglobulin', 'flajani disease', 'thyroid orbitopathy', 'endocrine exopthalmos', 'tsi antibodies', 'begbie disease', 'long acting thyroid stimulator', 'encorine exophthalmus', 'basedow s syndrome', 'flajani s disease', 'tshr ab', 'marsh disease', 'struma diffusa toxica', 'toxic goiter']"
"""How many US states begin with the letter """"O""""?""","5
","['three', '3']"
In 1969 which Irish woman became Britain's youngest ever female MP?,"16-year-old Mary Robinson
","['bernadette devlin', 'michael mcaliskey', 'bernadette mcaliskey', 'bernadette devlin mcaliskey', 'deirdre mcaliskey']"
She is the mother of Morgan le Fay by her first husband Gorlois and mother of King Arthur by her second husband Uther Pendragon. What is her name?," Guinevere
","['igraine', 'igerna', 'ygraine', 'igerne', 'igrayne', 'eigyr', 'egraine', 'ygrayne', 'ygerne', 'ygerna', 'arnive']"
"""Can you identify the play by William Shakespeare in which the following quote appears? """"Cowards die many times before their deaths"""""""," Hamlet
","['commentaries of julius cæsar', 'gaius iulius gaii filius gaii nepos caesar', 'julius caesar roman', 'political career of julius caesar', 'ivlivs cæsar', 'caivs ivlivs caesar', 'julius caeser', 'imp•c•ivlivs•caesar•divvs', 'julias ceaser', 'conspiracy caesar', 'literary works of julius caesar', 'caesar julius', 'julius caesar assassination plot', 'caesar dictator', 'julius caesra', 'julius ceasar', 'juluis cesar', 'caesar', 'imp caesar', 'julis caesar', 'ivlivs caesar', 'imp cæsar', 'julius cæsar', 'i am republic', 'imp c ivlivs caesar divvs', 'julius caesar', 'julius ceaser', 'divvs ivlivs', 'divus iulius', 'caesar complex', 'iulius caesar', 'julius caesar quotes', 'caius iulius caesar', 'julius seizer', 'julias caesar', 'caesars death', 'gayus julius caesar', 'imperator gaius iulius caesar divus', 'julious caesar', 'c julius caesar', 'julius cesar', 'giulius caesar']"
"Located in Yorkshire, what are Drax and Eggborough?","2 Nuclear power stations
","['electricity works', 'power station', 'power plant operator', 'power plant', 'electric power plant', 'generating plant', 'power farm', 'generating station', 'edison electric light station', 'power production plant', 'electrical power station', '⛮', 'small power producer', '57 holborn viaduct', 'backup power station', 'electrical generating station', 'power plants', 'electricity power station', 'electric power station', 'holborn viaduct power station', 'power stations', 'powerplants']"
"On July 21, 1873, Jesse James and the James-Younger gang pulled off the first successful what of the American West, in Adair Iowa?"," Train Robbery
","['train robberies', 'train robber', 'train robbery']"
On whish river does Newport (Isle of Wight) stand?,"1st
",['medina']
Which snack or meal was popularised by a marketing campaign in the late 1950s and early 1960s by the Milk Marketing Board?,"2+2=5
","['ploughmans lunch', 'ploughman s', 'ploughmans', 'ploughman s lunch']"
What musical featured the music of ABBA?,"42nd Street
","['mamma mia musical', 'sophie sheridan', 'donna and dynamos', 'mama mia', 'momma mia', 'mamma mia play', 'mamma mia']"
Who won his second Oscar for the role of Raymond in Rain Man?,"1989
","['dustin hoffman filmography', 'dustin lee hoffman', 'sam edic', 'list of awards and nominations received by dustin hoffman', 'dustin hoffman', 'dustin l hoffman']"
Who created the character Kay Scarpetta?," Patricia Cornwell
","['isle of dogs novel', 'patricia cornwall', 'patricia cornwell', 'patricia daniels cornwell']"
What is the internet code for Spain?,"34
","['e s', 'es', 'es disambiguation']"
"David Furnish, Canadian filmmaker and former advertising executive is the husband of which performer?"," Elton John
","['lady choc ice', 'sir elton', 'kenneth dwight', 'john elton', 'list of elton john awards', 'reginald k dwight', 'nancy treadlight', 'sir john elton', 'ann orson', 'rockaday johnny', 'redget buntovan', 'reginald dwight', 'elton john band', 'reginald kenneth', 'renate blauel', 'reg dwight', 'reggie dwight', 'elthon john', 'reginald kenneth dwight', 'elton hercules john', 'lord choc ice', 'mrs elton john', 'elton john', 'elton john discography', 'reg kenneth dwight', 'elton h john', 'sir elton hercules john cbe', 'sir elton john', 'eltonjohn', 'elton john s discography']"
"Which chemical, commonly used to increase crop yield, sometimes contaminates drinking water?","2,4-D
","['nitrate poisoning', 'nitrate ion', 'no3', 'nitrates', 'trinitrate', 'nitrate v', 'nitrate', 'nitrate deposits', 'alkyl nitrate', 'alkyl nitrates', 'nitroxylation', 'no3−']"
The Paris-Dakar rally stars in France but end in which country?,"1986: Senegal; 1987-2007: Dakar, Senegal; 2009-2010: Argentina
","['republic of sénégal', 'culture of senegal', 'senegalese', 'senegal', 'sénégal', 'republic of senegal', 'république du sénégal', 'sengal', 'indigenous cultures kingdoms and ethnic groups of senegal', 'sport in senegal', 'etymology of senegal', 'iso 3166 1 sn']"
Two of the planets in our Solar system don't have moons: Venus - and which other ?," Mercury
","['mercury newspaper', 'mercury disambiguation', 'mercury']"
"""Which US actor, who appeared in the film """"The 40 year old Virgin"""", also played the lead role in the US version of """"The Office""""?"""," Steve Carell
","['steve correll', 'steven carrel', 'steven carell', 'steve carell filmography', 'steve carell', 'steve carrel', 'steve carrell']"
What was a hundredth of a German mark before the introduction of the Euro,"1 Pfennig
","['₰', 'pfennig']"
Who was the target of Operation Neptune Spear?,"9/11 mastermind Osama bin Laden
","['ben ladden', 'usamah bin muhammad bin laden', 'أسامة بن لاد', 'mr bin laden', 'osama bin laddin', 'ossama bin laden', 'bin ladin', 'usāmah bin muḥammad bin 60awaḍ bin lādin', 'usama binladin', 'oussama bin laden', 'osama bin laden', 'asama bin laden', 'obama bin laden', 'osama binlad n', 'usamah bin laden', 'usama ben laden', 'usama ibn muhammad ibn awad ibn ladin', 'osama bin mohammed bin ladin', 'osama bin ladin', 'bin laddin', 'usama bin ladin', 'osama bin mohammed bin awad bin laden', 'osama laden', 'usamah bin ladin', 'usāmah bin muhammad bin awad bin lādin', 'osama ben ladin', 'usama ben ladin', 'ben ladin', 'usaamah bin laadin', 'ben laddin', 'osama bin ladan', 'osama binladin', 'osama ben laden', 'oussama ben laden', 'osama bin muhammad bin awad bin laden', 'ussama ben ladin', 'osama bin ladn', 'usaamah ibn laadin', 'osama muhammed awad bin laden', 'osama bin lotto', 'bin laden osama', 'sheikh usamah bin muhammad bin awad bin ladin', 'usamah bin mohammad bin laden', 'أسامة بن محمد بن عوض بن لاد', 'osama binladen', 'usāma bin muhammad bin 60awad bin lādin', 'ben laden', 'oussama ben ladin', 'usāmah bin lādin', 'usamah bin muhammad bin awad bin ladin', 'sheik osama', 'osama ben laddin', 'osama mohamed binladin', 'osama', 'bin laden', 'bin terrorist', 'osoma bin laden', 'osma bin laden', 'usuma bin laden', 'ubl', 'ʾusāmah bin muḥammad bin ʿawaḍ bin lādin', 'ousama ben laden', 'binladen', 'sheikh usamah bin muhammad bin laden', 'osama bin mohammad bin laden', 'osama ben ladden', 'bin ladden', 'osama ibn laden', 'ousama bin laden', 'ussama bin laden', 'binladin', 'ussamah bin ladin', 'usāmah bin muḥammad bin ʿawaḍ bin lādin', 'usamah bin la den', 'usama bin laden', 'ossama bin ladin', 'usama bin landen', 'osama m binladin', 'usama binladen', 'osomah', 'mujahid shaykh', 'amal al sada', 'ʾusāmah bin lādin', 'osama bin loden', 'usama ibn laden', 'osama bin lad n', 'أسامة بن محمد بن عوض بن لادن', 'osomah bin laden', 'osoma', 'usāmah bin muḥammad bin awaḍ bin lādin', 'osama bin larden', 'أسامة بن لادن', 'oszama bin laden', 'osama bin ladden']"
"Who, in 1642, painted 'The Night Watch', now to be found in the Rijksmuseum in Amsterdam?"," Rembrandt
","['rembrandt harmenszoon van ryn', 'rembrandt van rijn', 'van rejn', 'rembrand van rijn', 'rembrant', 'rembrand', 'reimbrond vainrein', 'rembrandt', 'rembrandt van riji', 'rembrandt harmenzsoon van rijn', 'rembrandt harmensz van rijn', 'remberandt', 'rembrandt harmenszoon van rijn', 'rembrant van rijn']"
Charles Ryder and Sebastian Flyte are characters in which 1980’s UK television drama series?,"1981 Brideshead Revisited
","['sebastian flyte', 'anthony blanche', 'lord sebastian flyte', 'sebastian marchmain', 'brideshead revisited sacred and profane memories of captain charles ryder', 'brideshead', 'brideshead revisited']"
Across which European river do the Cat and Mouse castles face each other?," Rhine
","['length of rhine', 'rhine', 'rhein river', 'rhine basin', 'river rhein', 'alpenrhein river', 'rhine estuary', 'rhine mouth', 'rhinewater', 'river rhine', 'upper rhine river plains', 'rhinen', 'rhine river', 'river rhine pollution november 1986', 'rijn', 'rayn']"
